label,content
1,"thầy khá vui tính , kiến thức môn học rất hấp dẫn và thu hút ."
1,chấm điểm thi thực hành quá khắt khe .
1,thầy không cho slide và lên lớp chủ yếu là chép slide .
1,thầy dạy rất hay và đưa nhiều kinh nghiệm cá nhân .
4,chỉ có vấn đề là em chưa cố gắng .
4,và còn rất nhiều vấn đề khác .
4,em không có ý kiến về vấn đề này .
2,"nên có các buổi ra ngoài tiếp xúc ví dụ như quận 1 có các người nước ngoài , trung tâm văn hóa thanh niên có câu lạc bộ tiếng anh ."
4,"hơn nữa , buổi thứ 2 nếu các nhóm làm chung buổi 1 nghỉ dẫn tới tình trạng không có người hợp tác ."
2,kiến thức còn kỳ kỳ .
3,trang bị thêm thiết bị nghe nhìn .
2,"bài giảng hấp dẫn , mang tính cập nhật và ứng dụng cao ."
2,"nội dung thực hành chỉ là copy và paste , chưa tập trung vào nội dung giảng dạy ."
2,chất lượng môn học phù hợp .
3,"phòng anh văn gần với công trình đang thi công , mong nhà trường sắp xếp để có phòng học yên tĩnh ."
3,nên dạy thực tế hơn một chút và máy chiếu nên rõ hơn .
2,tăng cường buổi học .
2,tăng thời gian thực hành .
2,"như vậy , chất lượng dạy và học sẽ được nâng lên đáng kể ạ ."
2,"cần có nhiều tài liệu để học hơn , có các trò chơi để sinh viên dễ hiểu bài hơn ."
2,cụ thể là phần chấm điểm giữa kỳ .
1,giáo viên tốt .
2,cần thực hành môn học nhiều hơn .
2,"em hy vọng là nội dung bài học sẽ cập nhật các phiên bản công nghệ mới , gần đây nhất ."
1,thầy dạy rất chán .
4,rất ít người học thực hành môn cấu trúc dữ liệu & giải thuật .
4,everything .
4,dẫn chứng thực tế .
3,"em thấy bất cập là khi giải bài trên bảng ở giảng đường 1 , khoảng cách thì xa trong khi chữ viết của sinh viên lại rất mờ và nhỏ , khó có thể thấy rõ ."
3,dụng cụ học tập đầy đủ .
1,thầy dạy khá kỹ .
1,sử dụng slide tiếng anh khó diễn đạt với sinh viên .
4,"em không thể đi học môn wzjwz75 , nên học kỳ này sẽ nợ môn này ."
3,"lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 , 2010 để việc học và thi trở nên dễ dàng , hiệu quả hơn !"
2,"bài tập đa dạng , mức độ khó dễ khác nhau ."
1,em thấy cô dạy nhiệt tình .
3,hệ thống máy chiếu cần cải thiện .
2,tài liệu hay và chia sẻ nhiều kinh nghiệm học .
2,"phần pl fraction sql , quản lý , phân quyền ."
1,"thầy giảng bài dễ hiểu , vui tính , sẵn sàng giải đáp thắc mắc của sinh viên ."
3,hỗ trợ thêm tài liệu cho sinh viên .
1,"thầy hơi khắc khe , nhưng đây không ghép hoàn toàn vào mục này ."
2,"cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv ."
3,các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .
1,"giảng viên theo sát chuyên cần lớp , giảng dễ hiểu ."
3,"nhiều máy còn bị nhiễm virus , chậm , đôi khi làm hỏng phần mềm thực hành ."
1,"thầy truyền đạt kiến thức tốt , phương pháp hiệu quả để em tiếp thu được môn học ."
2,1 chỉ thực hành chỉ còn ý nghĩa tượng trưng .
3,có nhiều trang thiết bị giảng dạy hơn .
4,em thật sự không nắm được nội dung và yêu cầu của môn học .
2,"đồ án cho sinh viên làm rất mơ hồ , đa số không thể hiểu được giáo viên đang yêu cầu làm gì ."
3,"đề nghị trường triển khai hệ thống user để quản lý tốc độ cũng như sinh viên nào đang tải phim , soft , vdotv ."
4,em cảm ơn !
4,thì có thể lướt nhanh hơn vì phần này khá dễ .
3,cần có các tiết thực hành với trang thiết bị hiện đại .
4,nếu kết thúc thực hành sớm .
1,"thầy cho nhiều bài tập hay và rộng hơn khi học lý thuyết , giúp em biết thêm nhiều thứ hơn ."
1,"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng ."
2,"vừa đọc slide vừa giảng , dễ gây buồn ngủ và hơi khó hiểu ."
2,cô hỗ trợ sinh viên khá nhiều .
1,đến hôm tiếp theo thì thầy lại nạp cho bọn em nhiều kiến thức mới dẫn đến khó hiểu hơn .
1,chương trình dạy hơi nhiều .
2,môn học cung cấp nhiều kiến thức bổ ích .
1,giảng viên dễ tính gần gũi với học sinh .
4,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp .
3,"cần có một phòng máy tốt hơn , hiện đại hơn ."
2,"em nhận thấy , môn này học xong hầu như là vẽ mô hình , thi cuối kỳ cũng vẽ mô hình toàn tập ."
2,không có bài ví dụ mẫu trong slide cũ ở nhiều chương khó cho việc ôn tập !
4,cần hiểu rõ thêm cách kết nối prolog với c .
2,thời gian các tiết thực hành cần phân bổ phù hợp với thời gian lý thuyết vì thường thì những bài thực hành đi sớm hơn so với bài lý thuyết kể từ những tuần khoảng giữa nên giảng viên hỗ trợ thực hành không thể cho sinh viên thực hành phần đó .
2,sinh viên không được cung cấp nhiều tài liệu cho môn học ngoài slide của giảng viên cung cấp .
2,chất lượng của môn học rất tốt .
2,"môn này rất chán , giáo viên dạy cũng chán , nói chung vô cùng không hài lòng với môn này ."
2,các dùng từ ngữ của giảng viên có hơi khó hiểu nên thỉnh thoảng giảng bài làm sinh viên bối rối và không hiểu được nội dung bài học .
3,cần có nhiều buổi thực hành trên thiết bị thật hoặc giảng viên nên đem thiết bị thật làm vài bày mẫu trên lớp .
1,người thậy nhiệt huyết dù học sinh không đi học đầy đủ .
4,cũng hài lòng .
3,riêng trang thiết bị quá kém .
4,không có gì đặc biệt .
3,"thiếu trang bị , dụng cụ thực hành cần thiết , không đáp ứng đủ thời gian giảng dạy do vắng tiết ."
2,phải nghe những thứ mà chưa được thấy thì thật khó mà tiếp thu .
4,em không có ý kiến gì cả .
3,lớp học khá chật so với số lượng sinh viên .
2,môn học cần tổng hợp các kiến thức vào đầu năm để sinh viên có thể nắm bắt theo dõi khi không may nghỉ học một buổi vì lý do chính đáng .
3,wifi yếu .
2,tài liệu cho môn học còn hạn chế .
3,có nhiều thời gian chết trong giờ học .
1,đề án soạn thảo kỹ càng .
3,phòng lab cần có thêm thiết bị thật để thực hành .
4,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp ."
4,cám ơn ạ .
1,giảng viên luôn đúng giờ và nhiệt tình .
1,thầy rất tận tình trên lớp và trong định hướng cho sinh viên .
3,"cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch , router , hub , bridge , trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn , vdotv ."
4,biết làm bài tập của môn học nhưng không hiểu nó liên quan gì đến thực tế .
4,mọi thứ đều tốt .
1,nên giao nhiều bài tập ngữ pháp về nhà cho sinh viên .
3,"máy chiếu của phòng bị mờ , nên sửa lại ."
3,nâng cấp quạt trần và máy chiếu của phòng học !
4,em nghĩ sẽ hiệu quả hơn nhiều .
3,phòng wzjwz55 thiết bị thường bị trục trặc .
2,thật sự em rất mơ hồ về môn học này .
2,cần làm nhiều bài tập hơn .
1,rất quan tâm học viên .
3,"cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết , vì các chương trình mô phỏng trên máy tính là không đầy đủ ."
1,sữa lỗi cho sinh viên .
4,"cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy cô này tham gia hay hướng dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz43 thôi ."
3,bởi vì trong một số trường hợp sinh viên làm bài thi thì máy tính của trường không đáp ứng đủ nhu cầu của sinh viên phải đủ nhanh .
4,kêu sinh viên nếu có thời gian thì đi dự seminar nhưng lại bắt viết bài thu hoạch lấy điểm .
2,chương trình giảng dạy tốt .
4,rất thú vị .
4,"cô rất dễ thương , hiền nữa ."
4,không thực tế .
1,"thầy dạy cứng nhắc , buồn ngủ ."
3,chất lượng phòng máy kém .
3,"phòng thực hành nên bố trí hợp lý , đủ máy móc thực hành ."
1,cách giảng dạy có hiệu quả giúp sinh viên hiểu được vấn đề về chiều sâu hơn .
4,tất cả điều hài lòng .
3,cần wifi mạnh thêm cho dãy nhà cũ .
3,năng cấp phòng máy .
3,trang thiết bị tốt hơn .
1,"chưa tận tâm trong giảng dạy , không nghiên cứu kỹ bài giảng trước khi lên lớp ."
3,nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .
4,"chép bài trên bảng nhanh , giảng hơi nhanh ."
1,giảng dạy tận tâm .
1,thầy nói nhanh quá .
1,nhiệt tình giải thích cho sinh viên .
2,mong bộ môn xem xét lại cấu trúc bài thi và chương trình cần dạy .
3,phòng thực hành cần được nâng cấp .
2,do học buổi trưa cả thầy và trò đều mệt .
1,hòa đồng .
2,nhiều lúc lớp chỉ có hai người đi học .
3,"máy tính của phòng thực hành không đáp ứng được nhu cầu môn học , giảng viên yêu cầu tự làm trên laptop và mang lên phòng thực hành chấm điểm , vậy phòng thực hành là phòng chấm điểm ?"
1,cách giảng dạy của thầy rất tuyệt vời rất sát với thực tế .
1,phương pháp dễ hiểu .
3,nên có nhiều thiết bị trực quan hơn .
1,đảm bảo đúng thời gian lên lớp của giảng viên !
3,nên trang bị rèm che cửa .
4,bị áp lực .
1,giảng viên tạo sự thu hút đối với sinh viên .
4,không có ý kiến gì thêm .
1,nên tổng hợp ý chính các bài để ôn .
4,theo em nghĩ là quá nhiều cho 2 tín chỉ .
3,phải nâng cấp quạt và máy chiếu !
1,"thầy dạy rất hay , nhiệt tình ."
2,"không áp dụng vào đời sống nhiều , phân chia thời gian học chưa hợp lý ."
1,giảng viên vui nhiệt tình .
1,"thầy giáo nhiệt tình , đưa ra nhiều trường hợp cho thuật toán ."
3,phòng thực hành thiếu ổ cắm .
2,"em xin có kiến nghị là nội dung môn học nên gắn bó hơn với nội dung các bài tiểu luận , kiểm tra ."
3,cần kết nối được mạng trong phòng lab .
4,trên đây là ý kiến về các vấn đề em nhận ra sau khi học .
4,tiếng anh .
4,nên đưa ra các vấn đề thường gặp .
4,chưa hài lòng .
3,thiết bị .
4,biết về các công cụ quản lý cấu hình và quản lý dự án theo agile .
1,chưa có sự tương tác nhiều với sinh viên .
3,"phòng học quá sáng , màn chiếu bị mờ rất khó nhìn , xin ban quản lý lắp rèm để sinh viên và giảng viên thuận tiện trong việc học tập và giảng dạy ."
1,"truyền đạt dễ hiểu , nhiệt tình giảng bài , dễ mến ."
4,em thấy ổn ạ .
4,chép hơi nhiều .
4,khả năng nói tiếng anh tốt .
1,"thầy rất nhiệt tình , giảng rất kỹ càng ."
1,thầy nói tiếng anh còn hơi nhỏ .
3,"có vài máy hư trong phòng thực hành , cần khắc phục lại ."
4,"vì đôi khi một đề lâp trình nào đó có thể người này đã làm qua rồi , người khác thì chưa hề đọc qua kiến thức ấy trong khi thời gian làm bài chỉ có 60 phút ."
2,thêm các tiết dạy thực hành .
3,cần nâng cao chất lượng trang thiết bị .
4,hoạt động tổ chức thuyết trình .
1,thầy bận công tác và thay giảng viên khác mà giảng viên đó dạy không tốt bằng thầy wzjwz292 làm chúng em rất khó nắm bắt kiến thức .
2,em nghĩ nên có giờ giao tiếp bằng tiếng anh riêng cho sinh viên để cải thiện được khả năng giao tiếp của sinh viên .
2,"đến lớp muộn 15 phút , ra sớm từ 15 đến 30 phút ."
4,"hiện tại tốt , không cần điều chỉnh gì thêm ."
1,cô không sử dụng hệ thống course của trường .
2,chất lượng môn học đã phục vụ tốt sinh viên .
4,không phải là môn đi học .
4,quả không sai !
4,đó là tại sao .
1,"thầy dạy tốt , nhiệt tình ."
4,không có điều gì .
2,nên bỏ phần thi lý thuyết .
2,cho về sớm .
2,"bài giảng hay và hiệu quá , bài tập bám sát kiến thức ."
2,nhóm trưởng không làm thì đồ án bỏ không .
1,"giảng viên giảng dạy hay , dễ hiểu , nhiệt tình ."
3,máy tính khó sử dụng .
1,giảng viên nên giảng bài cụ thể hơn .
2,buổi học cuối cùng trước đợt thi cuối kỳ chưa nói rõ về nội dung sẽ được thi .
1,"giảng dạy kỹ , hỗ trợ sinh viên ."
3,"hỗ trợ thêm cơ sở vật chất , thiết bị thực tế ."
3,máy chiếu còn chưa tốt .
2,"không có hoạt động nhóm , bài tập ít ."
1,cho nhiều bài tập .
1,"thầy gần gũi thân thiện nhiệt tình , nhất là khi muốn phúc khảo bài thi ."
1,không được làm những chuyện riêng trong lúc dạy thực hành .
1,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu ."
1,"giảng viên hiền lành , nhiệt tình giúp đỡ khá nhiều cho sinh viên khi sinh viên không hiểu bài ."
1,"thầy không quan tâm đến việc học của sinh viên , nhiệm vụ của thầy là lên lớp đọc slide cho các bạn khác nên trình trạng sinh viên nghỉ rất nhiều ."
1,"dạy chậm về kiến thức , chưa hoàn tất chuyển c sang cplusplus ."
2,"cung cấp thêm giáo trình , tài liệu môn học ."
3,cải tiến trang thiết bị phòng thực hành .
3,tăng cường chất lượng wifi cho các phòng lab .
3,đề nghị lắp thêm quạt .
4,ôm đồm quá nhiều kỳ vọng .
4,mức độ quan tâm học sinh rất cao .
3,cần cải thiện hệ thống âm thanh vì đôi lúc gặp trục trặc và không rõ .
3,hỗ trợ thêm về các thiết bị dạy và học .
3,phòng học và các thiết bị giảng dạy cần được nâng cấp tốt hơn .
4,"nói chung là thua , feed môn , ráng qua 5 điểm cho khỏe ."
1,"giảng viên tận tâm , nhiệt tình , có khả năng truyền đạt tốt ."
2,áp dụng nhiều kiến thức thực tế .
2,quá ít bữa thực hành .
2,nội dung môn học khá khó để tiếp thu .
4,cảm giác như là cấp 2 học nhạc và vẽ vậy .
2,nên tăng tỷ lệ của đồ án môn học trong điểm trung bình lên sẽ đánh giá khách quan hơn kết quả học tập của sinh viên .
1,thầy dạy hay nhiệt huyết kiến thức về chuyên môn rộng .
4,cơ mà em học môn này em hiểu colonlove .
2,liên hệ thực tế nhiều hơn .
4,thái độ .
2,tài liệu học tập chưa được cập nhật đầy đủ .
1,có nội dung học rõ ràng hơn .
3,chiếu video lên cho sinh viên xem nhưng hệ thống âm thanh hình ảnh kém khiến sinh viên không hiểu hết được nội dung của video vào môn học .
1,anh wzjwz302 rất vui và nhiệt tình .
1,"giáo viên nhiệt tình , dạy dễ hiểu ."
2,nhiều bài tập kiểm tra năng lực qua từng phần .
1,"thầy rất nhiệt tình , giảng chi tiết ."
4,dễ trong việc tiếp xúc với thực tế sau này .
3,"phòng thực hành có rất nhiều máy bị hư hỏng , chúng em không thể sử dụng chuột được , visual thì phiên bản cũ quá , không còn phù hợp cho học tập nữa ."
4,dễ học dễ hiểu .
4,có nhiều tài liệu hay .
4,"cô nhiệt tình , dạy hay , nhiều bài tập ."
4,không hài lòng gì cả .
3,"phòng học quá nóng , máy chiếu mờ ."
2,mong nhà trường sẽ đồng nhất phần thực hành và lý thuyết .
4,hay .
3,"đặc biệt cần thông tin cụ thể về những dụng cụ nào nhà trường phải có trách nhiệm cấp cho sinh viên và giảng viên , ví dụ như có trường hợp bút lông viết bảng xài qua vài học kỳ đã khô hết mực , bút mờ không viết được nhưng giảng viên và sinh viên không biết đến đâu để đổi hay thay bút mới nên dẫn đến có giảng viên đành nói chay , không ghi chép được gì , hoặc phải tự đi mua bút viết bảng mới để viết ."
1,giảng viên cho bài tập để làm .
2,cần tăng cường phần nghe nói hơn đọc viết .
3,nên tăng hiệu suất của máy .
3,"máy móc trong phòng còn gặp trục trặc , phòng học rất bụi do lâu ngày không được dọn dẹp , máy cấu hình còn yếu ."
4,nghiên cứu khoa học .
1,"lịch bù không rõ ràng , không ôn tập , dạy không kịp chương trình , đăng video cho sinh viên xem lại ."
3,thiết bị giảng dạy chưa tốt lắm .
2,sinh viên gặp khó khăn khi làm giao diện và xử lý chuỗi khi làm đồ án .
2,cần nêu rõ mối liên hệ giữa môn này với chuyên ngành đang theo học .
3,thiếu thiết bị thật để thực hành .
3,máy chiếu rất mờ .
1,thầy cho bài tập hơi khó .
3,"micro và các thiết bị âm thanh , máy chiếu cần nâng cấp ."
1,thầy giảng dễ hiểu nhưng chưa có sự liên kết giữa các bài với nhau .
4,không có ý kiến thêm .
1,đặc biệt với sự hướng dẫn của thầy wzjwz162 .
4,"dạy rất dễ hiểu và nhiệt tình , em rất thích cách giảng dạy của cô ."
1,"phương pháp thầy cho các bạn thuyết trình trên lớp cũng không khả quan , một buổi học đến 4 nhóm thuyết trình về 4 chủ đề khác nhau ."
4,em thấy việc này khá bổ ích .
1,giảng viên cần cung cấp rõ tài liệu thi lý thuyết bộ môn patin .
2,"em đã đi làm , em không phủ nhận những kiến kiến nền tảng trên trường đại học nhưng thực sự tụi em phải trải qua quá trình đào tạo rèn luyện lại để phù hợp với môi trường doanh nghiệp ."
4,không !
4,chúc thầy nhiều sức khỏe !
3,đề nghị có màn che bớt ánh sáng .
3,ic được cấp thường hư một phần .
2,cần tập trung giảng dạy những phần có liên quan đến chuyên ngành sau này hơn .
2,"tiết học rất vui nhộn , tăng thêm tinh thần đi học cho sinh viên ."
3,cần nâng cao chất lượng phòng máy .
2,"sử dụng thư viện của standford , dùng các câu lệnh trong đó để áp dụng vào việc phân loại văn bản ."
2,cần thêm nhiều các ví dụ minh họa .
1,tiếng nói .
4,dễ hiểu .
2,có ít bài tập .
4,trừ những điều không hài lòng một chút thì trên cả tuyệt vời colonhihi .
1,rất nhiệt tình và giảng bài dễ hiểu .
2,"nói chung , tôi và bạn bè sau khi học môn nay đã từ bỏ lập trình android ."
2,cần tăng cường nhiều biện pháp trừng phạt khi sinh viên không làm bài tập .
2,"chứ chép bài tập rất mất thời gian , đã thế mỗi lần chép là mấy chụp bài !"
3,"thiết bị về máy chiếu chưa được tốt , mong nhà trường tạo điều kiện ."
1,"giảng viên nhiệt tình , vui tính ."
1,"tận tâm , đúng giờ ."
1,thầy giảng bài .
2,"cần bổ sung thêm các game vào môn học , học anh văn mà không có game thì nói thật ra là rất dễ chán và buồn ngủ ."
3,bàn ghế còn bụi .
2,có nhiều bài tập về nhà .
4,em xin lỗi nhưng đó là sự thật .
2,"so vời những môn học khác , môn học của thầy chiếm hơn 50% thời gian làm bài tập trong một tuần của bọn em , làm cho tụi em cảm thấy không hoàn toàn thực tế em nghĩ nếu để thời gian làm bài tập đó để củng cố đồ án thì tốt hơn rất nhiều ."
4,em xin chân thành cảm ơn !
2,nhưng điều đáng nói là điểm thi lại cao hơn những bạn thi đậu lần đầu và điểm này được lấy cho các bạn đó .
3,nhà trường cần trang bị máy chiếu tốt hơn được không ạ .
1,đảm bảo về mặt giờ giấc .
1,giảng viên nhiệt huyết .
2,thành thật mà nói thì sau khi học buổi đầu xong thì em không muốn học thêm buổi thứ hai .
3,"đề nghị trang bị thiết bị vật chất tốt hơn doubledot quạt , máy chiếu ."
4,không gặp mặt .
3,"phòng lab thực hành cơ bản vẫn còn thiếu chất lượng , máy yếu , trường mình vẫn còn xài màn hình crt nản , mang danh trường công nghệ thông tin ."
4,mong nhà trường xem xét lại .
4,"rất tốt , không có ý kiến ."
3,"nâng cấp trang thiết bị phòng học doubledot máy chiếu , quạt ."
3,hệ thống máy tính còn yếu kém .
4,từ đó bọn em khó mà có được nhiều kiến thức về môn học này .
2,tôi nghĩ trường cần thêm nhiều giảng viên bộ môn toán lý để thêm sự lựa chọn cho sinh viên .
4,nên có sự so sánh phản hồi về phương pháp lập trình của sinh viên .
3,"chất lượng âm thanh chưa tốt , còn quá rè ."
1,"thầy nhiệt tình , tận tụy , vui vẻ ."
1,tâm huyết nhiệt tình giảng dạy .
2,"bài tập nhiều quá , không phù hợp lắm ."
1,quan tâm giúp đỡ và luôn nhiệt tình khi học sinh hỏi bài .
2,cần tăng thời gian học .
1,"cô dạy hay , dế hiểu ."
1,em phải nói thật thầy dạy hơi buồn ngủ .
1,nhiệt tình luôn cố gắng giúp đỡ sinh viên .
3,"tránh tình trạng giảng viên đang dạy thì hết phấn , micro hết pin ."
1,"hầu như trong cả năm học , giảng viên chỉ đi dạy đúng thời khoá biểu chỉ từ 2 đến 3 ngày , còn lại giảng viên lại tự ý dời lịch học sang ngày thứ 7 mà không hỏi ý kiến của sinh viên , vì vào ngày thứ 7 có rất nhiều sinh viên có lịch học môn khác ."
1,truyền đạt bài dễ tiếp thu .
3,cơ sở vật chất của trường nên được đầu tư làm mới và hiện đại hơn .
1,hy vọng thầy cho nhiều bài tập hơn .
4,chơi trò chơi .
4,đươc biết nhiều cái mới lạ .
