label,content,back_translation,synonym_aug
3,"thầy giáo nhiệt tình , đưa ra nhiều trường hợp cho thuật toán .","thầy giáo nhiệt tình , đưa ra nhiều trường hợp cho thuật toán .","thầy giáo nhiệt tình , đưa ra nhiều trường hợp cho thuật toán ."
3,cô dạy rất tận tâm nhiệt tình .,cô dạy rất tận tâm nhiệt tình .,cô dạy rất tận tâm nhiệt tình .
2,đảm bảo phần kiến thức cho sinh viên đạt được .,đảm bảo phần kiến thức cho sinh viên đạt được .,đảm bảo phần kiến thức cho sinh viên đạt được .
2,em cảm ơn !,em cảm ơn !,em cảm ơn !
1,"rút kinh nghiệm về sau , em sẽ ở nhà code bài cờ tướng và đọc slide và không cần lên lớp quá chuyên cần nữa .","rút kinh nghiệm về sau , em sẽ ở nhà code bài cờ tướng và đọc slide và không cần lên lớp quá chuyên cần nữa .","rút kinh nghiệm về sau , em sẽ ở nhà code bài cờ tướng và đọc slide và không cần lên lớp quá chuyên cần nữa ."
3,"thầy rất hiền và nhiệt tình quan tâm giúp đỡ chúng em , nhất là trong giờ thực hành nên em rất quý thầy .","thầy rất hiền và nhiệt tình quan tâm giúp đỡ chúng em , nhất là trong giờ thực hành nên em rất quý thầy .","thầy rất hiền và nhiệt tình quan tâm giúp đỡ chúng em , nhất là trong giờ thực hành nên em rất quý thầy ."
3,thầy chu đáo và tỉ mỉ .,thầy chu đáo và tỉ mỉ .,thầy chu đáo và tỉ mỉ .
2,thầy có vẻ quá hiền .,thầy có vẻ quá hiền .,thầy có vẻ quá hiền .
1,cô dạy không nhiệt tình tuy có đầy đủ bài học .,cô dạy không nhiệt tình tuy có đầy đủ bài học .,cô dạy không nhiệt tình tuy có đầy đủ bài học .
2,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp .,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp .,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp .
3,"giảng dạy ngắn gọn , dễ hiểu .","giảng dạy ngắn gọn , dễ hiểu .","giảng dạy ngắn gọn , dễ hiểu ."
2,chào thầy !,chào thầy !,chào thầy !
3,"cô dạy tận tình , dễ hiểu , sử dụng thời gian lên lớp hợp lý .","cô dạy tận tình , dễ hiểu , sử dụng thời gian lên lớp hợp lý .","cô dạy tận tình , dễ hiểu , sử dụng thời gian lên lớp hợp lý ."
3,cho sinh viên cơ hội tham gia project thực tế .,cho sinh viên cơ hội tham gia project thực tế .,cho sinh viên cơ hội tham gia project thực tế .
3,"giảng hay , giảng viên vui tính , nhiệt tình .","giảng hay , giảng viên vui tính , nhiệt tình .","giảng hay , giảng viên vui tính , nhiệt tình ."
3,tận tình tích cực .,tận tình tích cực .,tận tình tích cực .
3,thầy viết chữ rất đẹp !,thầy viết chữ rất đẹp !,thầy viết chữ rất đẹp !
1,nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .,nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .,nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .
2,"kiến thức , khả năng truyền đạt .","kiến thức , khả năng truyền đạt .","kiến thức , khả năng truyền đạt ."
2,em không có ý kiến về vấn đề này .,em không có ý kiến về vấn đề này .,em không có ý kiến về vấn đề này .
3,khi cô dạy luôn cuốn hút sinh viên .,khi cô dạy luôn cuốn hút sinh viên .,khi cô dạy luôn cuốn hút sinh viên .
3,nắm được các kiến thức quan trọng .,nắm được các kiến thức quan trọng .,nắm được các kiến thức quan trọng .
3,"rèn luyện kiến thức chuyên môn , tận tâm , nhiệt tình hơn .","rèn luyện kiến thức chuyên môn , tận tâm , nhiệt tình hơn .","rèn luyện kiến thức chuyên môn , tận tâm , nhiệt tình hơn ."
2,có nghĩ 2 buổi không hề báo trước .,có nghĩ 2 buổi không hề báo trước .,có nghĩ 2 buổi không hề báo trước .
3,giảng dạy ngắn gọn dễ hiểu 10 fraction 10 điểm cho thầy luôn .,giảng dạy ngắn gọn dễ hiểu 10 fraction 10 điểm cho thầy luôn .,giảng dạy ngắn gọn dễ hiểu 10 fraction 10 điểm cho thầy luôn .
2,cơ mà em nghĩ là thầy phải hơn cả tuổi ba em .,cơ mà em nghĩ là thầy phải hơn cả tuổi ba em .,cơ mà em nghĩ là thầy phải hơn cả tuổi ba em .
1,"nên xắp xếp lịch báo cáo , thuyết trình một cách cụ thể , giúp cho sinh viên chủ động được thời gian cũng như nắm bắt được kiến thức cụ thể của từng buổi .","nên xắp xếp lịch báo cáo , thuyết trình một cách cụ thể , giúp cho sinh viên chủ động được thời gian cũng như nắm bắt được kiến thức cụ thể của từng buổi .","nên xắp xếp lịch báo cáo , thuyết trình một cách cụ thể , giúp cho sinh viên chủ động được thời gian cũng như nắm bắt được kiến thức cụ thể của từng buổi ."
2,everything .,everything .,everything .
2,giảng bài tập kết hợp lý thuyết .,giảng bài tập kết hợp lý thuyết .,giảng bài tập kết hợp lý thuyết .
3,cô giảng dễ hiểu và nhiệt tình .,cô giảng dễ hiểu và nhiệt tình .,cô giảng dễ hiểu và nhiệt tình .
1,dạy lố giờ .,dạy lố giờ .,dạy lố giờ .
3,giảng dạy hay .,giảng dạy hay .,giảng dạy hay .
2,ra các dạng của đề thi !,ra các dạng của đề thi !,ra các dạng của đề thi !
1,cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .,cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .,cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .
3,"giáo viên tận tình , dạy truyền đạt tốt .","giáo viên tận tình , dạy truyền đạt tốt .","giáo viên tận tình , dạy truyền đạt tốt ."
3,"giảng bài chi tiết , cụ thể .","giảng bài chi tiết , cụ thể .","giảng bài chi tiết , cụ thể ."
1,"hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .","hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .","hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên ."
1,"máy nghe nên được trang bị tốt hơn , phòng học nên sáng hơn .","máy nghe nên được trang bị tốt hơn , phòng học nên sáng hơn .","máy nghe nên được trang bị tốt hơn , phòng học nên sáng hơn ."
2,thực tế với hiện trạng .,thực tế với hiện trạng .,thực tế với hiện trạng .
1,thầy dạy chán chưa thu hút học sinh .,thầy dạy chán chưa thu hút học sinh .,thầy dạy chán chưa thu hút học sinh .
3,thầy dạy rất hay ạ !,thầy dạy rất hay ạ !,thầy dạy rất hay ạ !
2,làm bài tập về nhà .,làm bài tập về nhà .,làm bài tập về nhà .
3,thầy giảng rất hay !,thầy giảng rất hay !,thầy giảng rất hay !
3,giảng viên nhiệt tình và tận tâm với sinh viên .,giảng viên nhiệt tình và tận tâm với sinh viên .,giảng viên nhiệt tình và tận tâm với sinh viên .
3,"cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên .","cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên .","cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên ."
1,"đôi khi bài thực hành và lý thuyết không khớp gì nhau cả , có 2 tuần lớp thực hành học trước lý thuyết .","đôi khi bài thực hành và lý thuyết không khớp gì nhau cả , có 2 tuần lớp thực hành học trước lý thuyết .","đôi khi bài thực hành và lý thuyết không khớp gì nhau cả , có 2 tuần lớp thực hành học trước lý thuyết ."
2,mọi thứ .,mọi thứ .,mọi thứ .
2,có tương tác với học sinh .,có tương tác với học sinh .,có tương tác với học sinh .
3,"giáo viên truyền đạt tốt , tạo nhiều cảm hứng cho sinh viên , giúp nâng cao trình độ ngoại ngữ .","giáo viên truyền đạt tốt , tạo nhiều cảm hứng cho sinh viên , giúp nâng cao trình độ ngoại ngữ .","giáo viên truyền đạt tốt , tạo nhiều cảm hứng cho sinh viên , giúp nâng cao trình độ ngoại ngữ ."
2,khả năng truyền tải kiến thức .,khả năng truyền tải kiến thức .,khả năng truyền tải kiến thức .
2,không có ý kiến khác .,không có ý kiến khác .,không có ý kiến khác .
1,thái độ hơi khó chịu với sinh viên .,thái độ hơi khó chịu với sinh viên .,thái độ hơi khó chịu với sinh viên .
1,thầy wzjwz247 đôi lúc nhìn hơi bị bí hiểm em cảm thấy sợ vì điều này .,thầy wzjwz247 đôi lúc nhìn hơi bị bí hiểm em cảm thấy sợ vì điều này .,thầy wzjwz247 đôi lúc nhìn hơi bị bí hiểm em cảm thấy sợ vì điều này .
3,thầy giảng rất tận tâm .,thầy giảng rất tận tâm .,thầy giảng rất tận tâm .
1,trong khi thầy dạy sinh viên chỉ hiểu được vài gạch đầu dòng thì lại làm một vấn đề mà google cũng bó tay .,trong khi thầy dạy sinh viên chỉ hiểu được vài gạch đầu dòng thì lại làm một vấn đề mà google cũng bó tay .,trong khi thầy dạy sinh viên chỉ hiểu được vài gạch đầu dòng thì lại làm một vấn đề mà google cũng bó tay .
3,"khả năng truyền đạt kiến thức cao , thường hay gọi lên bảng để kiểm tra năng lực sinh viên .","khả năng truyền đạt kiến thức cao , thường hay gọi lên bảng để kiểm tra năng lực sinh viên .","khả năng truyền đạt kiến thức cao , thường hay gọi lên bảng để kiểm tra năng lực sinh viên ."
1,"các bài tập của nhóm đều tự làm , hoặc có tham khảo số liệu thống kê để phân tích thị trường nhưng lại làm tỉ lệ sao chép theo thuật toán của turnitindotcom > 30% ( theo thầy nói bài > 30 % sẽ bị 0 điểm ) .","các bài tập của nhóm đều tự làm , hoặc có tham khảo số liệu thống kê để phân tích thị trường nhưng lại làm tỉ lệ sao chép theo thuật toán của turnitindotcom > 30% ( theo thầy nói bài > 30 % sẽ bị 0 điểm ) .","các bài tập của nhóm đều tự làm , hoặc có tham khảo số liệu thống kê để phân tích thị trường nhưng lại làm tỉ lệ sao chép theo thuật toán của turnitindotcom > 30% ( theo thầy nói bài > 30 % sẽ bị 0 điểm ) ."
2,cho bài tập và ví dụ .,cho bài tập và ví dụ .,cho bài tập và ví dụ .
2,"thưa , không có ạ .","thưa , không có ạ .","thưa , không có ạ ."
1,khi sinh viên hỏi phải có câu trả lời chính xác không được bỏ qua những câu hỏi của sinh viên .,khi sinh viên hỏi phải có câu trả lời chính xác không được bỏ qua những câu hỏi của sinh viên .,khi sinh viên hỏi phải có câu trả lời chính xác không được bỏ qua những câu hỏi của sinh viên .
1,lịch thực hành ban ra quá trễ !,lịch thực hành ban ra quá trễ !,lịch thực hành ban ra quá trễ !
3,thầy cô giáo dạy rất nhiệt tình và vui vẻ .,thầy cô giáo dạy rất nhiệt tình và vui vẻ .,thầy cô giáo dạy rất nhiệt tình và vui vẻ .
2,giảng dạy .,giảng dạy .,giảng dạy .
1,lượng kiến thức quá nhiều trong một học kỳ .,lượng kiến thức quá nhiều trong một học kỳ .,lượng kiến thức quá nhiều trong một học kỳ .
3,"giáo trình rõ ràng , bài tập đầy đủ nội dung đã học .","giáo trình rõ ràng , bài tập đầy đủ nội dung đã học .","giáo trình rõ ràng , bài tập đầy đủ nội dung đã học ."
1,hay nghỉ .,hay nghỉ .,hay nghỉ .
2,áp dụng .,áp dụng .,áp dụng .
1,"cô tận tình với học sinh , nhưng còn thiếu cách truyền đạt một chút .","cô tận tình với học sinh , nhưng còn thiếu cách truyền đạt một chút .","cô tận tình với học sinh , nhưng còn thiếu cách truyền đạt một chút ."
2,em không ý kiến .,em không ý kiến .,em không ý kiến .
2,"môn thực hành này , về kiến thức , học tập , chủ yếu là em trao đổi với bạn học và với giáo viên lý thuyết cô wzjwz152 .","môn thực hành này , về kiến thức , học tập , chủ yếu là em trao đổi với bạn học và với giáo viên lý thuyết cô wzjwz152 .","môn thực hành này , về kiến thức , học tập , chủ yếu là em trao đổi với bạn học và với giáo viên lý thuyết cô wzjwz152 ."
1,"cô dạy nhiệt tình nhưng nói qua rất nhỏ , khó nghe .","cô dạy nhiệt tình nhưng nói qua rất nhỏ , khó nghe .","cô dạy nhiệt tình nhưng nói qua rất nhỏ , khó nghe ."
3,"thầy có tâm và rất tận tình , rõ ràng trong các thông báo .","thầy có tâm và rất tận tình , rõ ràng trong các thông báo .","thầy có tâm và rất tận tình , rõ ràng trong các thông báo ."
2,"chuẩn bị đầy đủ các phần mềm , chương trình cần thiết sẵn trong các phòng thực hành phù hợp với đặc trưng môn học .","chuẩn bị đầy đủ các phần mềm , chương trình cần thiết sẵn trong các phòng thực hành phù hợp với đặc trưng môn học .","chuẩn bị đầy đủ các phần mềm , chương trình cần thiết sẵn trong các phòng thực hành phù hợp với đặc trưng môn học ."
2,không có ạ .,không có ạ .,không có ạ .
1,giảng viên vào lớp toàn đọc báo bấm slide thời lượng không được bảo đảm tầm 9h là đi họp hoài .,giảng viên vào lớp toàn đọc báo bấm slide thời lượng không được bảo đảm tầm 9h là đi họp hoài .,giảng viên vào lớp toàn đọc báo bấm slide thời lượng không được bảo đảm tầm 9h là đi họp hoài .
2,thực hành đầy đủ .,thực hành đầy đủ .,thực hành đầy đủ .
1,phòng ốc nên sạch sẽ hơn thì sinh viên sẽ có hứng thú ngồi lâu hơn trong phòng học .,phòng ốc nên sạch sẽ hơn thì sinh viên sẽ có hứng thú ngồi lâu hơn trong phòng học .,phòng ốc nên sạch sẽ hơn thì sinh viên sẽ có hứng thú ngồi lâu hơn trong phòng học .
3,"giảng viên vui vẻ hòa đồng , tận tâm với sinh viên , truyền đạt kiến thức tốt .","giảng viên vui vẻ hòa đồng , tận tâm với sinh viên , truyền đạt kiến thức tốt .","giảng viên vui vẻ hòa đồng , tận tâm với sinh viên , truyền đạt kiến thức tốt ."
3,thầy dạy kỹ càng .,thầy dạy kỹ càng .,thầy dạy kỹ càng .
1,không nên sử dụng thực hành hình thức 2 .,không nên sử dụng thực hành hình thức 2 .,không nên sử dụng thực hành hình thức 2 .
1,"quá ô nhiễm tiếng ồn , mệt mỏi và chán học !","quá ô nhiễm tiếng ồn , mệt mỏi và chán học !","quá ô nhiễm tiếng ồn , mệt mỏi và chán học !"
1,giáo viên nghỉ dạy .,giáo viên nghỉ dạy .,giáo viên nghỉ dạy .
1,thầy chỉ làm việc của thầy .,thầy chỉ làm việc của thầy .,thầy chỉ làm việc của thầy .
2,chơi trò chơi .,chơi trò chơi .,chơi trò chơi .
1,"giảng viên cần phải nói rõ hơn , giới thiệu , phân tích , cho ví dụ minh họa .","giảng viên cần phải nói rõ hơn , giới thiệu , phân tích , cho ví dụ minh họa .","giảng viên cần phải nói rõ hơn , giới thiệu , phân tích , cho ví dụ minh họa ."
2,thầy rất ít nổi nóng .,thầy rất ít nổi nóng .,thầy rất ít nổi nóng .
1,"thú vị , cải thiện khả năng giao tiếp bằng tiếng anh .","thú vị , cải thiện khả năng giao tiếp bằng tiếng anh .","thú vị , cải thiện khả năng giao tiếp bằng tiếng anh ."
3,"giảng viên dạy rất hay , bài tập khá đa dạng , đi thi nắm vững được các dạng nên không cần học tủ , thầy rất nhiệt tình .","giảng viên dạy rất hay , bài tập khá đa dạng , đi thi nắm vững được các dạng nên không cần học tủ , thầy rất nhiệt tình .","giảng viên dạy rất hay , bài tập khá đa dạng , đi thi nắm vững được các dạng nên không cần học tủ , thầy rất nhiệt tình ."
3,"lên lớp đúng giờ , tận tâm với sinh viên .","lên lớp đúng giờ , tận tâm với sinh viên .","lên lớp đúng giờ , tận tâm với sinh viên ."
1,thật sự để đánh giá tổng quát được chất lượng đào tạo thì có lẽ một sinh viên phải học qua nhiều giáo viên mới có cái nhìn tổng quát về cách giảng dạy và chất lượng .,thật sự để đánh giá tổng quát được chất lượng đào tạo thì có lẽ một sinh viên phải học qua nhiều giáo viên mới có cái nhìn tổng quát về cách giảng dạy và chất lượng .,thật sự để đánh giá tổng quát được chất lượng đào tạo thì có lẽ một sinh viên phải học qua nhiều giáo viên mới có cái nhìn tổng quát về cách giảng dạy và chất lượng .
3,"giảng viên rất tận tâm , nhiệt tình , gần gũi sinh viên .","giảng viên rất tận tâm , nhiệt tình , gần gũi sinh viên .","giảng viên rất tận tâm , nhiệt tình , gần gũi sinh viên ."
2,em không có ý kiến gì cả .,em không có ý kiến gì cả .,em không có ý kiến gì cả .
1,may mắn cho các sinh viên sau này không còn làm việc với giảng viên này .,may mắn cho các sinh viên sau này không còn làm việc với giảng viên này .,may mắn cho các sinh viên sau này không còn làm việc với giảng viên này .
3,"cô có khả năng truyền đạt tốt , giảng dạy kết hợp với luyện tập các kỹ năng cơ bản trong môn học rất linh hoạt và hấp dẫn , cô có sự nhiệt tình lớn .","cô có khả năng truyền đạt tốt , giảng dạy kết hợp với luyện tập các kỹ năng cơ bản trong môn học rất linh hoạt và hấp dẫn , cô có sự nhiệt tình lớn .","cô có khả năng truyền đạt tốt , giảng dạy kết hợp với luyện tập các kỹ năng cơ bản trong môn học rất linh hoạt và hấp dẫn , cô có sự nhiệt tình lớn ."
3,rất thực tiễn .,rất thực tiễn .,rất thực tiễn .
3,"dạy đầy đủ kiến thức , hỗ trợ sinh viên tốt .","dạy đầy đủ kiến thức , hỗ trợ sinh viên tốt .","dạy đầy đủ kiến thức , hỗ trợ sinh viên tốt ."
2,vì môn vậy lý kỹ thuật sinh viên chỉ học để lấy điểm cao kéo điểm trung bình lên thôi .,vì môn vậy lý kỹ thuật sinh viên chỉ học để lấy điểm cao kéo điểm trung bình lên thôi .,vì môn vậy lý kỹ thuật sinh viên chỉ học để lấy điểm cao kéo điểm trung bình lên thôi .
1,cần có thêm nhiều bài tập .,cần có thêm nhiều bài tập .,cần có thêm nhiều bài tập .
2,em chưa gặp thầy lần nào .,em chưa gặp thầy lần nào .,em chưa gặp thầy lần nào .
1,cô dạy còn hơi nhanh hơi thuần lý thuyết .,cô dạy còn hơi nhanh hơi thuần lý thuyết .,cô dạy còn hơi nhanh hơi thuần lý thuyết .
2,truyền đạt .,truyền đạt .,truyền đạt .
3,"dạy dễ hiểu , vui vẻ , tận tình .","dạy dễ hiểu , vui vẻ , tận tình .","dạy dễ hiểu , vui vẻ , tận tình ."
3,"giảng kỹ , hay .","giảng kỹ , hay .","giảng kỹ , hay ."
2,thêm giờ thực hành .,thêm giờ thực hành .,thêm giờ thực hành .
3,"giáo viên vui tính , dạy dễ hiểu .","giáo viên vui tính , dạy dễ hiểu .","giáo viên vui tính , dạy dễ hiểu ."
1,hay bị về trễ colonsad .,hay bị về trễ colonsad .,hay bị về trễ colonsad .
3,"thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên .","thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên .","thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên ."
1,khả năng truyền đạt kiến thức kém .,khả năng truyền đạt kiến thức kém .,khả năng truyền đạt kiến thức kém .
3,"tài liệu , nội dung bài học thầy wzjwz197 cung cấp đầy đủ , chi tiết .","tài liệu , nội dung bài học thầy wzjwz197 cung cấp đầy đủ , chi tiết .","tài liệu , nội dung bài học thầy wzjwz197 cung cấp đầy đủ , chi tiết ."
1,thường đi trễ .,thường đi trễ .,thường đi trễ .
1,đôi khi giảng bài quá nhanh .,đôi khi giảng bài quá nhanh .,đôi khi giảng bài quá nhanh .
1,cô cho bài tập về nhà hơi nhiều .,cô cho bài tập về nhà hơi nhiều .,cô cho bài tập về nhà hơi nhiều .
1,phương pháp dạy còn chưa thực sự thu hút được sự chú ý của sinh viên gây nên nhàm chán và thụ động .,phương pháp dạy còn chưa thực sự thu hút được sự chú ý của sinh viên gây nên nhàm chán và thụ động .,phương pháp dạy còn chưa thực sự thu hút được sự chú ý của sinh viên gây nên nhàm chán và thụ động .
3,giảng viên giảng dạy dễ hiểu .,giảng viên giảng dạy dễ hiểu .,giảng viên giảng dạy dễ hiểu .
1,dạy song song hai lớp cùng lúc và không dạy nhiệt tình cho sinh viên trường đại học công nghệ thông tin .,dạy song song hai lớp cùng lúc và không dạy nhiệt tình cho sinh viên trường đại học công nghệ thông tin .,dạy song song hai lớp cùng lúc và không dạy nhiệt tình cho sinh viên trường đại học công nghệ thông tin .
1,khi học sinh nào có ý kiến muốn phát biểu thì thầy tranh luận tới cùng .,khi học sinh nào có ý kiến muốn phát biểu thì thầy tranh luận tới cùng .,khi học sinh nào có ý kiến muốn phát biểu thì thầy tranh luận tới cùng .
1,chương trình học quá nhiều và nhiều phần không cần thiết .,chương trình học quá nhiều và nhiều phần không cần thiết .,chương trình học quá nhiều và nhiều phần không cần thiết .
3,thầy rất thoáng và thoải mái .,thầy rất thoáng và thoải mái .,thầy rất thoáng và thoải mái .
3,giảng viên vần tạo thêm động lực học cho sinh viên .,giảng viên vần tạo thêm động lực học cho sinh viên .,giảng viên vần tạo thêm động lực học cho sinh viên .
2,cũng hài lòng .,cũng hài lòng .,cũng hài lòng .
3,em thích cách dạy của thầy .,em thích cách dạy của thầy .,em thích cách dạy của thầy .
2,cách nói chuyện .,cách nói chuyện .,cách nói chuyện .
1,tăng thời gian học vì anh văn là môn học khó .,tăng thời gian học vì anh văn là môn học khó .,tăng thời gian học vì anh văn là môn học khó .
3,vận dụng được một số kiến thức để áp dụng những môn học sau .,vận dụng được một số kiến thức để áp dụng những môn học sau .,vận dụng được một số kiến thức để áp dụng những môn học sau .
1,nên có nhiều bài tập vận dụng về nhà cho sinh viên .,nên có nhiều bài tập vận dụng về nhà cho sinh viên .,nên có nhiều bài tập vận dụng về nhà cho sinh viên .
2,giảng viên không có tính hài hước .,giảng viên không có tính hài hước .,giảng viên không có tính hài hước .
2,em cám ơn .,em cám ơn .,em cám ơn .
1,"làm các bài lab trên win server 2012 rất khác so với win server 2003, mà lại toàn cho làm các bài lab trên win server 2003, có vẻ cũ .","làm các bài lab trên win server 2012 rất khác so với win server 2003, mà lại toàn cho làm các bài lab trên win server 2003, có vẻ cũ .","làm các bài lab trên win server 2012 rất khác so với win server 2003, mà lại toàn cho làm các bài lab trên win server 2003, có vẻ cũ ."
1,cần tiếp cận với sinh viên nhiều hơn .,cần tiếp cận với sinh viên nhiều hơn .,cần tiếp cận với sinh viên nhiều hơn .
1,"không có hoạt động nhóm , bài tập ít .","không có hoạt động nhóm , bài tập ít .","không có hoạt động nhóm , bài tập ít ."
2,về cách cho sinh viên thảo luận nhóm .,về cách cho sinh viên thảo luận nhóm .,về cách cho sinh viên thảo luận nhóm .
1,chưa chuẩn bị kỹ nội dung giảng dạy .,chưa chuẩn bị kỹ nội dung giảng dạy .,chưa chuẩn bị kỹ nội dung giảng dạy .
2,đánh giá tính chuyên cần .,đánh giá tính chuyên cần .,đánh giá tính chuyên cần .
1,không tạo được sự tâp trung hứng thú cho sinh viên .,không tạo được sự tâp trung hứng thú cho sinh viên .,không tạo được sự tâp trung hứng thú cho sinh viên .
2,"giờ quen miệng , nói câu đó quài .","giờ quen miệng , nói câu đó quài .","giờ quen miệng , nói câu đó quài ."
3,"cách truyền đạt , sự tận tâm .","cách truyền đạt , sự tận tâm .","cách truyền đạt , sự tận tâm ."
